Year,GCB,CABLE,CLASS_CTEM,CLM5.0,DLEM,ISAM,ISBA_CTRIP,JSBACH,JULES,LPJ_GUESS ,LPJ ,LPX,OCNv2,ORCHIDEE_CNP,ORCHIDEE_Trunk,SDGVM,VISIT,S_LAND_modelmean,E_FF,E_LUC,G_ATM,S_OCEAN,S_LAND_models,B_IM,S_RESIDUAL
1959,0.53,0.17,0.2,1.15,0.86,1.13,0.92,0.51,1.09,-0.83,-0.19,0.26,1.12,0.35,0.66,0.3,1.33,0.56,2.42,1.81,2.04,0.76,0.56,0.86,1.43
1960,1.34,1.95,1.28,1.33,1.66,1.31,1.68,1.86,1.51,0.99,0.73,0.89,1.08,1.01,1.46,0.78,1.78,1.33,2.55,1.65,1.51,0.79,1.33,0.57,1.9
1961,0.71,1.07,1.17,0.35,0.67,0.92,0.46,1.61,0.67,0.71,-0.22,-0.03,1.29,0.4,1.23,-0.67,1.38,0.69,2.56,1.57,1.66,0.68,0.69,1.1,1.79
1962,1.34,1.61,1.5,1.1,1.01,1.31,1.51,2.1,1.88,1.48,0.53,-0.08,1.72,1.7,1.52,-0.07,2.28,1.32,2.65,1.53,1.19,0.75,1.32,0.91,2.23
1963,1.11,1.92,0.5,0.8,0.69,1.05,1.52,1.61,1.79,0.17,-0.12,0.22,1.75,0.82,1.52,0.86,2.38,1.09,2.8,1.47,1.21,0.89,1.09,1.07,2.16
1964,1.45,1.24,1.19,1.97,1.62,1.94,0,1.53,2.14,2.47,1.11,1.09,1.83,1.79,1.62,0.37,1.71,1.48,2.94,1.41,1.04,1.04,1.48,0.8,2.27
1965,0.51,1.42,-0.75,0.9,0.37,1.12,1.28,0.46,1.35,-0.07,-0.31,-1.07,0.72,2.17,0.89,-1.36,1.42,0.54,3.08,1.36,2.34,1.17,0.54,0.39,0.93
1966,1.43,2.16,1.97,1.49,1.72,1.27,1.1,2.11,0.77,1.4,0.41,0.95,1.6,1.1,1.6,1.87,1.41,1.43,3.22,1.32,2.34,1.15,1.43,-0.38,1.05
1967,1.7,1.72,1.19,1.59,1.47,1.75,1.5,1.77,2.54,1.62,1.22,1.16,2.63,1.94,1.58,1.35,1.98,1.69,3.33,1.3,1.3,0.97,1.69,0.67,2.35
1968,2.51,2.19,3.4,2.07,2.26,2.4,1.82,1.84,2.6,3.6,2.7,2.12,2.8,2.75,2.01,2.31,2.84,2.48,3.51,1.29,2.11,1.07,2.48,-0.86,1.62
1969,0.49,1.54,-0.04,0.98,-0.02,0.26,0.64,1.33,-0.07,0.38,0.45,0.34,0.67,-0.04,0.76,0.59,0.54,0.52,3.74,1.3,2.81,1.11,0.52,0.6,1.12
1970,0.38,0.67,0.23,1.11,0.89,0.6,0.48,1.33,0.43,-0.17,-0.74,0.08,0.65,0.29,0.86,-0.61,0.72,0.43,4.05,1.27,2.41,1.03,0.43,1.46,1.88
1971,2.57,2.7,2.89,1.72,3.03,2.37,1.84,1.62,2.9,3.38,2.32,2.06,2.85,3.48,2.25,1.87,2.97,2.52,4.21,1.25,1.55,1.13,2.52,0.26,2.78
1972,1.21,1.25,1.38,0.66,0.9,0.65,2.11,-0.68,0.71,2.39,1.69,1.41,1.7,0.73,0.82,1.04,1.93,1.17,4.41,1.22,3.13,1.34,1.17,-0.01,1.15
1973,1.37,2.07,1.69,1.75,2.53,1.69,-0.55,1.63,-0.67,3.16,0.88,0.57,2.18,0.52,1.56,2.36,0.95,1.39,4.64,1.19,3.11,1.3,1.39,0.03,1.43
1974,4.01,3.79,4.55,2.72,3.4,3.23,4.12,4.57,3.6,4.72,3.8,3.54,4.3,4.68,4.14,3.15,4.54,3.93,4.62,1.16,1.45,1.24,3.93,-0.83,3.1
1975,2.42,2.22,3.12,2.13,2.25,2.02,1.42,1.94,2.26,3.22,2.15,2.16,3.23,2.28,2.34,1.96,3.62,2.39,4.62,1.14,2.62,1.23,2.39,-0.49,1.9
1976,2.98,2.73,3.09,3.07,2.18,2.63,2.76,1.39,3.56,3.17,4.44,2.26,3.71,3.55,2.35,2.5,4.35,2.98,4.86,1.12,2.07,1.32,2.98,-0.39,2.6
1977,1.4,2.23,2.23,1.83,0.74,1,1.31,0.83,1.4,0.19,1.83,1.7,2.58,-0.01,1.43,0.96,2.57,1.42,5,1.1,4.09,1.4,1.42,-0.81,0.61
