time,Tmean_CCSM4,dT_CCSM4,Tmean_HadGEM,dT_HadGEM2,Tmean_IPSL,dT_IPSL,Tmean_MPI,dT_MPI
1850,13.209933,-0.1774397096774205,NA,NA,12.312276,0.01586635483871035,13.314286,-0.20652780645161428
1851,13.409994,0.022621290322579313,NA,NA,12.195901,-0.1005086451612911,13.450457,-0.07035680645161335
1852,13.449543,0.06217029032258026,NA,NA,12.209548,-0.08686164516129047,13.498062,-0.022751806451614343
1853,13.33562,-0.05175270967741952,NA,NA,12.228437,-0.06797264516129076,13.588789,0.06797519354838677
1854,13.12901,-0.2583627096774208,NA,NA,12.217763,-0.07864664516129061,13.731408,0.2105941935483866
1855,13.305397,-0.08197570967742074,NA,NA,12.183008,-0.11340164516129114,13.605848,0.08503419354838648
1856,13.363769,-0.023603709677420426,NA,NA,12.072276,-0.22413364516128986,13.431453,-0.08936080645161404
1857,13.197146,-0.19022670967741995,NA,NA,11.906981,-0.3894286451612903,13.375008,-0.14580580645161412
1858,13.237752,-0.14962070967741958,NA,NA,11.824354,-0.4720556451612907,13.44266,-0.0781538064516134
1859,13.339881,-0.04749170967741989,NA,NA,11.890205,-0.4062046451612904,13.495679,-0.02513480645161259
1860,13.257608,-0.1297647096774206,13.644196,0.030603774193549427,12.052268,-0.24414164516129055,13.351739,-0.1690748064516132
1861,13.291232,-0.09614070967741917,13.752615,0.13902277419354903,12.162113,-0.13429664516129058,13.428694,-0.09211980645161333
1862,13.322615,-0.06475770967741923,13.538436,-0.07515622580645065,12.089065,-0.20734464516129059,13.242964,-0.27784980645161284
1863,13.380633,-0.006739709677420436,13.529401,-0.08419122580645144,12.075193,-0.2212166451612898,13.262559,-0.2582548064516139
1864,13.425783,0.038410290322579144,13.434197,-0.17939522580645217,12.222688,-0.07372164516129054,13.231325,-0.28948880645161346
1865,13.334673,-0.05269970967741955,13.431361,-0.18223122580645068,12.352708,0.056298354838709486,13.391772,-0.1290418064516139
1866,13.093626,-0.29374670967741956,13.430291,-0.18330122580645103,12.224765,-0.07164464516129065,13.457049,-0.06376480645161386
1867,13.223057,-0.16431570967741926,13.495931,-0.11766122580645089,12.039009,-0.25740064516129024,13.640737,0.11992319354838621
1868,13.326467,-0.060905709677420816,13.644078,0.03048577419354892,12.042305,-0.2541046451612896,13.546818,0.026004193548386567
1869,13.473072,0.08569929032258017,13.692333,0.07874077419354819,12.176699,-0.11971064516129104,13.403105,-0.11770880645161341
1870,13.356155,-0.031217709677420657,13.521976,-0.09161622580645101,12.156718,-0.13969164516129062,13.341614,-0.1791998064516136
1871,13.399723,0.012350290322579838,13.609944,-0.0036482258064509665,12.224223,-0.07218664516129003,13.40386,-0.11695380645161357
1872,13.324924,-0.062448709677420666,13.675086,0.061493774193548845,12.130711,-0.16569864516129051,13.548835,0.028021193548386947
1873,13.377521,-0.009851709677420217,13.579273,-0.03431922580645086,12.258154,-0.038255645161290985,13.714474,0.1936601935483857
1874,13.297113,-0.09025970967742047,13.537004,-0.07658822580645186,12.291219,-0.005190645161290419,13.59288,0.07206619354838573
